"SECURITIES","ERROR CODE","NUM FLDS","TICKER","OPT_STRIKE_PX","PX_LAST","PX_SETTLE","OPT_DELTA_LAST","OPT_GAMMA_LAST","SETTLE_DT","OPT_DAYS_EXPIRE","DAYS_TO_MTY","TODAY_DT","1ST_MTH_IMPVOL_90.0%MNY_DF","1ST_MTH_IMPVOL_95.0%MNY_DF","1ST_MTH_IMPVOL_97.5%MNY_DF","1ST_MTH_IMPVOL_100.0%MNY_DF","1ST_MTH_IMPVOL_102.5%MNY_DF","1ST_MTH_IMPVOL_110.0%MNY_DF","3MTH_IMPVOL_90.0%MNY_DF","3MTH_IMPVOL_95.0%MNY_DF","3MTH_IMPVOL_97.5%MNY_DF","3MTH_IMPVOL_100.0%MNY_DF","3MTH_IMPVOL_102.5%MNY_DF","3MTH_IMPVOL_110.0%MNY_DF","6MTH_IMPVOL_90.0%MNY_DF","6MTH_IMPVOL_95.0%MNY_DF","6MTH_IMPVOL_97.5%MNY_DF","6MTH_IMPVOL_100.0%MNY_DF","6MTH_IMPVOL_102.5%MNY_DF","6MTH_IMPVOL_110.0%MNY_DF"
"USQ6P    159.5 Comdty",0,28,"USQ6P",159.500000  ,0.031250  ,0.031250  ,-.014  ,.010  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    160 Comdty",0,28,"USQ6P",160.000000  ,0.031250  ,0.031250  ,-.015  ,.011  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    160.5 Comdty",0,28,"USQ6P",160.500000  ,0.031250  ,0.031250  ,-.015  ,.012  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    161 Comdty",0,28,"USQ6P",161.000000  ,0.031250  ,0.031250  ,-.016  ,.012  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    161.5 Comdty",0,28,"USQ6P",161.500000  ,0.046875  ,0.046875  ,-.022  ,.016  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    162 Comdty",0,28,"USQ6P",162.000000  ,0.046875  ,0.046875  ,-.023  ,.018  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    162.5 Comdty",0,28,"USQ6P",162.500000  ,0.046875  ,0.046875  ,-.024  ,.019  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    163 Comdty",0,28,"USQ6P",163.000000  ,0.062500  ,0.062500  ,-.031  ,.023  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    163.5 Comdty",0,28,"USQ6P",163.500000  ,0.078125  ,0.078125  ,-.038  ,.027  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    164 Comdty",0,28,"USQ6P",164.000000  ,0.078125  ,0.078125  ,-.039  ,.030  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    164.5 Comdty",0,28,"USQ6P",164.500000  ,0.093750  ,0.093750  ,-.047  ,.035  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    165 Comdty",0,28,"USQ6P",165.000000  ,0.109375  ,0.109375  ,-.054  ,.040  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    165.5 Comdty",0,28,"USQ6P",165.500000  ,0.140625  ,0.140625  ,-.067  ,.048  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    166 Comdty",0,28,"USQ6P",166.000000  ,0.171875  ,0.171875  ,-.080  ,.055  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    166.5 Comdty",0,28,"USQ6P",166.500000  ,0.218750  ,0.218750  ,-.098  ,.064  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    167 Comdty",0,28,"USQ6P",167.000000  ,0.265625  ,0.265625  ,-.117  ,.073  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    167.5 Comdty",0,28,"USQ6P",167.500000  ,0.328125  ,0.328125  ,-.139  ,.083  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    168 Comdty",0,28,"USQ6P",168.000000  ,0.406250  ,0.406250  ,-.165  ,.093  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    168.5 Comdty",0,28,"USQ6P",168.500000  ,0.500000  ,0.500000  ,-.194  ,.103  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    169 Comdty",0,28,"USQ6P",169.000000  ,0.593750  ,0.593750  ,-.224  ,.114  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    169.5 Comdty",0,28,"USQ6P",169.500000  ,0.718750  ,0.718750  ,-.259  ,.123  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    170 Comdty",0,28,"USQ6P",170.000000  ,0.859375  ,0.859375  ,-.296  ,.132  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    170.5 Comdty",0,28,"USQ6P",170.500000  ,1.031250  ,1.031250  ,-.337  ,.138  ,"06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
